model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.6495968185168786,roc_auc,2.5447168350219727,228.99885201454163,0.0037925243377685547,2.4877047538757324,2,True,10
CatBoost_r137_BAG_L1,0.645435933876531,roc_auc,0.06778383255004883,33.01142168045044,0.06778383255004883,33.01142168045044,1,True,3
CatBoost_r5_BAG_L1,0.6452268214273671,roc_auc,0.07178974151611328,32.23001575469971,0.07178974151611328,32.23001575469971,1,True,6
CatBoost_r49_BAG_L1,0.6451663054881644,roc_auc,0.11379361152648926,29.82533025741577,0.11379361152648926,29.82533025741577,1,True,5
CatBoost_r69_BAG_L1,0.6437596044855525,roc_auc,0.061243295669555664,34.66433620452881,0.061243295669555664,34.66433620452881,1,True,4
CatBoost_r6_BAG_L1,0.6430705658495621,roc_auc,0.13642477989196777,34.45196223258972,0.13642477989196777,34.45196223258972,1,True,8
LightGBM_BAG_L1,0.6371973775191899,roc_auc,0.27238988876342773,17.138629913330078,0.27238988876342773,17.138629913330078,1,True,1
XGBoost_r95_BAG_L1,0.637175809773125,roc_auc,0.23060917854309082,20.83520817756653,0.23060917854309082,20.83520817756653,1,True,9
XGBoost_r22_BAG_L1,0.6347625087456333,roc_auc,0.25792574882507324,21.15798854827881,0.25792574882507324,21.15798854827881,1,True,7
ExtraTreesGini_BAG_L1,0.5945944789600079,roc_auc,1.3289642333984375,3.1962544918060303,1.3289642333984375,3.1962544918060303,1,True,2
